Production_test,Production_predicted
16579,26309.658833715
33171,33099.27855869641
35216,35281.769717751464
15557,15613.91014720385
26456,24235.52124460467
26456,27340.11015128449
56673,56766.397940228024
13864,14693.949244846199
14714,13964.542946167323
37632,38150.73781729032
12623,16874.01837188765
0,29.489957445116087
23423,26309.658833715
26456,26393.472751886267
3260,22900.110034918973
34223,34561.158483081905
13889,14564.185660697862
11808,11456.484078880663
45194,40449.13987558792
30001,27340.11015128449
20065,26309.658833715
37674,37920.56927675509
17216,16970.1579603505
46,200.46680405965347
0,56.52965016698342
26456,24391.18396025676
0,24391.18396025676
53404,53371.51428627419
26456,24391.18396025676
32489,19826.82563565838
56164,56459.17052295592
31723,31510.432819690104
26456,24235.52124460467
49670,49645.47330966207
4743,28736.62887789663
58570,35062.467067585385
27409,15601.451019119706
0,16346.69082769666
26456,26309.658833715
33008,26381.01269283107
40637,35050.2207618675
2626,15866.262901507567
36111,35798.065544950914
0,53.76294268446145
60973,53604.77462969259
42307,42593.32022495494
2043,2184.441941866867
27404,29107.396749761323
54723,54628.039416456995
2803,27095.131407296736
45480,45649.71550642821
31741,26342.2571804684
41641,41673.94028253775
28788,29008.672780330697
47521,47334.512292183346
26595,26796.43476475369
38683,26211.919349872725
2647,15416.95479383022
498,488.71246768610695
6086,6554.209582411203
2959,26309.658833715
15361,16564.267304830915
0,322.6016353426866
26456,10414.100417032416
51669,35062.467067585385
30494,30216.474898774337
26456,24235.52124460467
20958,22085.259101237305
42861,42536.22546664313
46063,44669.13074188477
26456,23094.630906742615
27931,16384.387032215305
52637,52809.17142518267
996,20944.423776977237
26456,26149.98169674099
188,27735.2716501951
56191,56404.29255425085
7802,31153.021206697063
26456,26393.472751886267
26456,24391.18396025676
18270,16564.267304830915
59998,59974.58314491453
39907,39898.753211255906
1765,26244.517696626135
21410,16384.387032215305
2603,2578.402786920525
26456,24391.18396025676
26456,24235.52124460467
23733,26792.04028830892
15859,16338.556318968956
20736,31123.50951290006
50931,50872.25558061405
24672,24514.97705830901
0,357.990309263471
39921,23035.446034405875
93,160.56719192579868
23038,24391.18396025676
43499,27735.2716501951
15517,22623.162660985432
50705,26869.539737653733
33820,34157.26328768587
16923,20889.983539102406
30350,25026.095017215008
26338,26476.19802580277
5865,6244.041074478861
1627,16166.28609847418
6368,6415.182952964459
6918,29651.476650261764
9318,24391.18396025676
19019,19480.175664628874
35981,34877.35395384488
26456,24391.18396025676
10599,11040.012406300717
0,357.990309263471
32369,32910.27680963338
42560,32408.565806256403
54700,55045.567291401
47635,47495.952276860335
19258,23035.446034405875
0,113.7993677599918
46216,46288.701618222425
23078,24146.028288168363
43220,42492.68972299104
3204,22655.761007738834
35565,29023.359625392393
26456,26450.708782940615
23225,22692.6307080132
26456,27340.11015128449
26456,27340.11015128449
16702,16927.268551954865
0,223.56680069435737
32803,33054.35841133594
21088,22255.64104418279
9962,26381.01269283107
4514,15632.615073072235
11808,17731.648275994597
26456,27340.11015128449
3055,15601.451019119706
46018,46399.88996348992
14232,14483.917654261037
35550,37388.87973974799
27982,28226.859503981486
5881,20889.983539102406
26456,24391.18396025676
9002,15838.285497871742
7442,19690.284328080936
4866,5038.932981257422
60371,59980.464979271295
22769,22838.897160270353
26879,24280.509858710735
35213,17080.133546694462
47610,47602.16297299664
1959,24391.18396025676
26456,20889.983539102406
30523,28606.80823167418
6647,6898.982537943455
39212,34932.24517398081
